key1,a_code,a_name,a_grade,a_date,a_amount,a_rate,a_flag,a_dept,a_note
00000053,A51910,SAMPLE-A-0000053,A1,20240416,1619619,0.5284,N,D024,NOTE-18163
00000054,A97787,SAMPLE-A-0000054,A1,20240126,4845585,0.0976,N,D138,NOTE-79336
00000055,A88549,SAMPLE-A-0000055,A2,20241118,1872795,0.3914,N,D486,NOTE-94706
00000056,A67255,SAMPLE-A-0000056,A2,20250519,3543427,0.2672,N,D486,NOTE-98010
00000057,A22836,SAMPLE-A-0000057,C1,20231124,6407362,0.5360,N,D947,NOTE-93187
00000058,A99554,SAMPLE-A-0000058,C1,20231201,8230240,0.3430,Y,D627,NOTE-95770
00000059,A87438,SAMPLE-A-0000059,A1,20230118,2029592,0.6358,N,D838,NOTE-56537
00000060,A34911,SAMPLE-A-0000060,A1,20231102,6977039,0.6563,Y,D509,NOTE-13713
00000061,A12713,SAMPLE-A-0000061,A1,20231010,4563129,0.7901,Y,D836,NOTE-63910
00000062,A09781,SAMPLE-A-0000062,B1,20251120,8632854,0.8010,N,D437,NOTE-36365
00000063,A83140,SAMPLE-A-0000063,B1,20230810,0325711,0.9299,Y,D711,NOTE-68835
00000064,A24776,SAMPLE-A-0000064,A1,20250113,8819211,0.4037,Y,D798,NOTE-49192
00000065,A62497,SAMPLE-A-0000065,A2,20250523,6453432,0.2284,N,D344,NOTE-49252
00000066,A12509,SAMPLE-A-0000066,C1,20230412,8015254,0.9427,Y,D422,NOTE-26047
00000067,A19924,SAMPLE-A-0000067,B1,20240202,2141118,0.1802,N,D689,NOTE-97427
00000068,A15448,SAMPLE-A-0000068,A2,20240805,6597444,0.3328,N,D563,NOTE-30796
00000069,A34360,SAMPLE-A-0000069,A1,20240308,9708009,0.6993,Y,D205,NOTE-11870
00000070,A44460,SAMPLE-A-0000070,B1,20240214,3055735,0.6350,N,D639,NOTE-63855
00000071,A53783,SAMPLE-A-0000071,A2,20251007,5018991,0.5983,Y,D944,NOTE-32417
00000072,A57356,SAMPLE-A-0000072,B1,20230801,2147909,0.6083,Y,D442,NOTE-60048
00000073,A58536,SAMPLE-A-0000073,A2,20240623,9470606,0.5765,Y,D882,NOTE-89817
00000074,A23066,SAMPLE-A-0000074,B2,20250727,1933044,0.9573,Y,D016,NOTE-81908
00000075,A67076,SAMPLE-A-0000075,A2,20250609,4906116,0.3027,Y,D226,NOTE-72205
00000076,A93240,SAMPLE-A-0000076,B2,20230101,0517030,0.2230,N,D750,NOTE-52069
00000077,A33631,SAMPLE-A-0000077,A2,20250723,7880744,0.1711,N,D075,NOTE-91605
00000078,A95998,SAMPLE-A-0000078,B1,20251208,6598875,0.8265,Y,D815,NOTE-57914
00000079,A50607,SAMPLE-A-0000079,A2,20231128,8535989,0.5152,N,D515,NOTE-62419
00000080,A95969,SAMPLE-A-0000080,A2,20240526,2225402,0.9495,Y,D385,NOTE-91323
00000081,A13194,SAMPLE-A-0000081,C1,20241112,4485607,0.1825,Y,D051,NOTE-01328
00000082,A57159,SAMPLE-A-0000082,B2,20240224,6358236,0.7473,N,D250,NOTE-73715
00000083,A69424,SAMPLE-A-0000083,A2,20230404,9729452,0.5319,Y,D620,NOTE-41310
00000084,A41035,SAMPLE-A-0000084,B2,20250324,5071974,0.1458,N,D754,NOTE-92217
00000085,A62830,SAMPLE-A-0000085,C1,20240220,3032794,0.9186,N,D493,NOTE-06034
00000086,A05347,SAMPLE-A-0000086,A2,20231013,6645833,0.1165,Y,D322,NOTE-52393
00000087,A67109,SAMPLE-A-0000087,A2,20230301,7928643,0.0716,N,D033,NOTE-79413
00000088,A78095,SAMPLE-A-0000088,A2,20251119,4964611,0.1150,N,D218,NOTE-60735
00000089,A84247,SAMPLE-A-0000089,B1,20230402,2526942,0.7719,Y,D212,NOTE-51883
00000090,A09136,SAMPLE-A-0000090,C1,20230712,9832244,0.7784,N,D127,NOTE-06532
00000091,A28274,SAMPLE-A-0000091,B1,20230606,3379595,0.4016,N,D930,NOTE-34497
00000092,A57889,SAMPLE-A-0000092,A1,20240327,8661454,0.2361,Y,D661,NOTE-88575
00000093,A50578,SAMPLE-A-0000093,B2,20240524,6436787,0.5896,N,D516,NOTE-00903
00000094,A60195,SAMPLE-A-0000094,B2,20240820,9596321,0.2948,N,D101,NOTE-90868
00000095,A28291,SAMPLE-A-0000095,B2,20250823,2009994,0.4965,N,D967,NOTE-68932
00000096,A64911,SAMPLE-A-0000096,A2,20250717,0174012,0.3810,N,D392,NOTE-30412
00000097,A79263,SAMPLE-A-0000097,B2,20240901,7678071,0.3042,N,D335,NOTE-91493
00000098,A25400,SAMPLE-A-0000098,B1,20251225,9420042,0.7652,N,D590,NOTE-04903
00000099,A45184,SAMPLE-A-0000099,A2,20231123,2768897,0.8932,N,D168,NOTE-88915
00000100,A74361,SAMPLE-A-0000100,B2,20250407,8250812,0.6293,Y,D742,NOTE-37482
00000101,A50538,SAMPLE-A-0000101,A1,20251005,6484049,0.3756,Y,D215,NOTE-93235
00000102,A22034,SAMPLE-A-0000102,C1,20240803,9709919,0.9432,N,D945,NOTE-49209
00000103,A93203,SAMPLE-A-0000103,B1,20231021,6497482,0.6769,Y,D385,NOTE-07538
00000104,A39043,SAMPLE-A-0000104,C1,20250807,3439812,0.8985,Y,D764,NOTE-56821
00000105,A34386,SAMPLE-A-0000105,A2,20241217,1146753,0.4472,N,D943,NOTE-37843
00000106,A67459,SAMPLE-A-0000106,A2,20230810,3094687,0.2127,Y,D257,NOTE-64698
00000107,A23918,SAMPLE-A-0000107,A1,20230517,6762774,0.9533,N,D249,NOTE-01322
00000108,A70546,SAMPLE-A-0000108,A1,20250107,2069093,0.8236,N,D980,NOTE-96626
00000109,A48824,SAMPLE-A-0000109,C1,20240301,9302679,0.8885,Y,D455,NOTE-26258
00000110,A60156,SAMPLE-A-0000110,B2,20230912,2594164,0.9091,Y,D912,NOTE-88260
00000111,A67172,SAMPLE-A-0000111,B2,20250311,5196045,0.8011,Y,D974,NOTE-38548
00000112,A22786,SAMPLE-A-0000112,C1,20250421,2894986,0.9981,Y,D305,NOTE-46800
00000113,A65775,SAMPLE-A-0000113,B2,20240422,1061703,0.2740,N,D096,NOTE-48451
00000114,A47404,SAMPLE-A-0000114,C1,20251013,2746373,0.0555,Y,D395,NOTE-64721
00000115,A27960,SAMPLE-A-0000115,C1,20240212,1407008,0.2321,Y,D642,NOTE-75144
00000116,A02004,SAMPLE-A-0000116,A2,20241204,6623061,0.5496,N,D961,NOTE-35671
00000117,A77207,SAMPLE-A-0000117,B2,20231128,4449688,0.6585,Y,D921,NOTE-39870
00000118,A81388,SAMPLE-A-0000118,B1,20231225,7672580,0.0695,Y,D801,NOTE-71357
00000119,A44355,SAMPLE-A-0000119,A1,20251108,9479614,0.4582,Y,D252,NOTE-14654
00000120,A00188,SAMPLE-A-0000120,B1,20240922,6389346,0.3652,N,D743,NOTE-05388
00000121,A93858,SAMPLE-A-0000121,A2,20241115,4072781,0.2125,Y,D188,NOTE-03272
00000122,A27110,SAMPLE-A-0000122,A2,20240602,6617229,0.2194,N,D338,NOTE-20756
00000123,A34277,SAMPLE-A-0000123,B1,20240528,9778594,0.5435,Y,D999,NOTE-82527
00000124,A46217,SAMPLE-A-0000124,B1,20251028,5249075,0.3263,Y,D257,NOTE-90724
00000125,A90889,SAMPLE-A-0000125,B1,20241015,7783450,0.3046,N,D142,NOTE-40737
00000126,A02349,SAMPLE-A-0000126,B2,20241107,1199770,0.8417,Y,D215,NOTE-63223
00000127,A93166,SAMPLE-A-0000127,B2,20240403,3277140,0.4248,N,D248,NOTE-43547
00000128,A11626,SAMPLE-A-0000128,C1,20251021,9919699,0.5259,Y,D878,NOTE-68628
00000129,A05898,SAMPLE-A-0000129,C1,20250315,7561152,0.3242,N,D950,NOTE-60833
00000130,A17477,SAMPLE-A-0000130,A2,20231009,9444018,0.7101,Y,D236,NOTE-05832
00000131,A55511,SAMPLE-A-0000131,B2,20230323,3210307,0.6843,Y,D897,NOTE-27381
00000132,A35893,SAMPLE-A-0000132,C1,20250722,8139348,0.4750,N,D134,NOTE-11252
00000133,A48189,SAMPLE-A-0000133,B1,20250320,5717207,0.3671,Y,D432,NOTE-01641
00000134,A78551,SAMPLE-A-0000134,B1,20230619,9852359,0.1713,Y,D946,NOTE-72325
00000135,A43558,SAMPLE-A-0000135,A2,20250510,1612322,0.0072,N,D770,NOTE-54005
00000136,A29081,SAMPLE-A-0000136,A1,20230611,8681849,0.0386,N,D294,NOTE-15673
00000137,A79543,SAMPLE-A-0000137,A1,20230822,6006596,0.7619,Y,D699,NOTE-44769
00000138,A43419,SAMPLE-A-0000138,B1,20230312,2991867,0.8612,N,D069,NOTE-02776
00000139,A86598,SAMPLE-A-0000139,B1,20230603,6537104,0.0933,Y,D195,NOTE-27284
00000140,A48666,SAMPLE-A-0000140,A2,20250423,1575853,0.0757,Y,D814,NOTE-73192
00000141,A03237,SAMPLE-A-0000141,A1,20230327,9455729,0.8460,N,D830,NOTE-61088
00000142,A18985,SAMPLE-A-0000142,A1,20251009,2600717,0.9387,N,D559,NOTE-07008
00000143,A11738,SAMPLE-A-0000143,A1,20241024,4547559,0.9234,N,D465,NOTE-01531
00000144,A32067,SAMPLE-A-0000144,B2,20251109,3303490,0.2278,N,D029,NOTE-37152
00000145,A18169,SAMPLE-A-0000145,A1,20230813,0561677,0.3855,Y,D798,NOTE-57079
00000146,A86518,SAMPLE-A-0000146,A1,20250118,2908945,0.8544,N,D188,NOTE-45950
00000147,A00807,SAMPLE-A-0000147,C1,20231013,6124663,0.2152,Y,D834,NOTE-43561
00000148,A21591,SAMPLE-A-0000148,B2,20230627,1623003,0.0737,Y,D450,NOTE-41993
00000149,A18709,SAMPLE-A-0000149,A1,20241205,9043215,0.0880,N,D038,NOTE-62425
00000150,A83751,SAMPLE-A-0000150,B2,20230405,7704656,0.8604,N,D439,NOTE-71468
00000151,A29166,SAMPLE-A-0000151,C1,20240309,9496007,0.8766,N,D297,NOTE-27195
00000152,A31829,SAMPLE-A-0000152,B1,20240806,6548170,0.3645,N,D870,NOTE-37896
00000153,A44093,SAMPLE-A-0000153,C1,20250120,4100967,0.2932,N,D624,NOTE-99092
00000154,A56763,SAMPLE-A-0000154,A1,20250624,5843045,0.7803,Y,D532,NOTE-77194
00000155,A73953,SAMPLE-A-0000155,C1,20250708,9912700,0.3474,N,D014,NOTE-30990
00000156,A06729,SAMPLE-A-0000156,B2,20250112,4704003,0.9159,Y,D022,NOTE-44729
00000157,A39841,SAMPLE-A-0000157,C1,20240306,2980454,0.4409,Y,D345,NOTE-17270
00000158,A56115,SAMPLE-A-0000158,B1,20230502,6140883,0.5830,N,D838,NOTE-80131
00000159,A89543,SAMPLE-A-0000159,A1,20240509,3051918,0.4279,Y,D569,NOTE-97925
00000160,A96022,SAMPLE-A-0000160,B1,20250110,6200560,0.9121,Y,D698,NOTE-02935
00000161,A59973,SAMPLE-A-0000161,B1,20250909,3691757,0.4288,N,D328,NOTE-21584
00000162,A86114,SAMPLE-A-0000162,A2,20250621,0989902,0.4919,Y,D975,NOTE-41996
00000163,A82473,SAMPLE-A-0000163,C1,20240209,4336069,0.9622,N,D727,NOTE-41562
00000164,A34816,SAMPLE-A-0000164,A1,20250907,9850883,0.5620,N,D864,NOTE-90707
00000165,A78378,SAMPLE-A-0000165,C1,20230601,7533526,0.2669,Y,D286,NOTE-42072
00000166,A60285,SAMPLE-A-0000166,B1,20230525,0761124,0.9642,Y,D564,NOTE-85752
00000167,A97123,SAMPLE-A-0000167,B2,20250615,3035068,0.8691,Y,D148,NOTE-63389
00000168,A85742,SAMPLE-A-0000168,A1,20240119,9965625,0.4143,Y,D314,NOTE-27780
00000169,A45559,SAMPLE-A-0000169,B2,20241118,7689971,0.4073,Y,D605,NOTE-17440
00000170,A62766,SAMPLE-A-0000170,A1,20230127,9161112,0.9353,Y,D424,NOTE-20577
00000171,A60593,SAMPLE-A-0000171,C1,20250227,7829979,0.9551,Y,D343,NOTE-21051
00000172,A32315,SAMPLE-A-0000172,B1,20241005,3152933,0.1786,N,D542,NOTE-89623
00000173,A10988,SAMPLE-A-0000173,A1,20230917,0798632,0.9914,N,D951,NOTE-38715
00000174,A21439,SAMPLE-A-0000174,C1,20250808,4218040,0.2421,Y,D825,NOTE-09618
00000175,A47736,SAMPLE-A-0000175,A2,20231101,6230882,0.2852,N,D345,NOTE-94011
00000176,A58441,SAMPLE-A-0000176,A2,20230817,4493073,0.8604,Y,D483,NOTE-09092
00000177,A17427,SAMPLE-A-0000177,A2,20251212,2115980,0.6213,Y,D168,NOTE-66367
00000178,A21875,SAMPLE-A-0000178,A2,20241017,4328652,0.7493,N,D467,NOTE-48279
00000179,A92070,SAMPLE-A-0000179,A2,20230824,7939537,0.3555,Y,D324,NOTE-66068
00000180,A55609,SAMPLE-A-0000180,C1,20250216,3267603,0.6214,N,D603,NOTE-48487
00000181,A91420,SAMPLE-A-0000181,B1,20240219,0467463,0.6030,N,D730,NOTE-38216
00000182,A36559,SAMPLE-A-0000182,B1,20230617,3809142,0.3529,Y,D498,NOTE-25293
00000183,A17997,SAMPLE-A-0000183,B2,20250524,1111555,0.5968,N,D190,NOTE-36493
00000184,A71912,SAMPLE-A-0000184,B1,20230914,3423272,0.7658,N,D810,NOTE-60568
00000185,A80975,SAMPLE-A-0000185,C1,20230411,5639189,0.6619,Y,D383,NOTE-40042
00000186,A88218,SAMPLE-A-0000186,C1,20250512,7733465,0.7948,N,D583,NOTE-41431
00000187,A20737,SAMPLE-A-0000187,A1,20240708,0878512,0.7052,N,D531,NOTE-70431
00000188,A91273,SAMPLE-A-0000188,B1,20251215,6315643,0.0109,Y,D641,NOTE-11720
00000189,A46424,SAMPLE-A-0000189,A1,20240916,4317968,0.9092,N,D716,NOTE-29105
00000190,A56857,SAMPLE-A-0000190,A1,20241222,7749774,0.8528,N,D899,NOTE-46915
00000191,A40152,SAMPLE-A-0000191,B1,20250411,9311558,0.3881,Y,D929,NOTE-40202
00000192,A65890,SAMPLE-A-0000192,C1,20250317,8044192,0.9982,N,D661,NOTE-67822
00000193,A79208,SAMPLE-A-0000193,A2,20240624,5307228,0.1398,N,D246,NOTE-97654
00000194,A78727,SAMPLE-A-0000194,C1,20251224,7781567,0.4728,N,D932,NOTE-17807
00000195,A71670,SAMPLE-A-0000195,B1,20230721,0991014,0.0704,N,D323,NOTE-09258
00000196,A97399,SAMPLE-A-0000196,C1,20250422,6495865,0.2345,Y,D158,NOTE-35737
00000197,A80146,SAMPLE-A-0000197,A1,20251008,8941648,0.8315,Y,D816,NOTE-17716
00000198,A58946,SAMPLE-A-0000198,B1,20240816,2442015,0.9748,N,D897,NOTE-16636
00000199,A94878,SAMPLE-A-0000199,A2,20241105,4392951,0.2981,Y,D702,NOTE-09149
00000200,A10115,SAMPLE-A-0000200,C1,20240308,1020857,0.6021,Y,D056,NOTE-20357
00000201,A91551,SAMPLE-A-0000201,C1,20241206,8832549,0.6636,N,D854,NOTE-37796
00000202,A75162,SAMPLE-A-0000202,B1,20250618,0578180,0.5491,Y,D680,NOTE-21705
00000203,A34041,SAMPLE-A-0000203,B1,20240615,3889660,0.4041,N,D575,NOTE-85237
00000204,A41048,SAMPLE-A-0000204,B2,20230726,9439409,0.0544,N,D733,NOTE-71208
00000205,A70256,SAMPLE-A-0000205,A2,20230626,7709316,0.3601,Y,D977,NOTE-21539
00000206,A43195,SAMPLE-A-0000206,A1,20230528,5762659,0.4831,Y,D458,NOTE-81563
00000207,A98756,SAMPLE-A-0000207,B1,20251110,7655756,0.6191,Y,D980,NOTE-03060
00000208,A80151,SAMPLE-A-0000208,B2,20230617,1071215,0.2873,Y,D488,NOTE-60486
00000209,A28017,SAMPLE-A-0000209,A1,20250105,3719054,0.8600,N,D792,NOTE-12653
00000210,A00530,SAMPLE-A-0000210,C1,20231203,5725692,0.0639,Y,D208,NOTE-86750
00000211,A10263,SAMPLE-A-0000211,B2,20240612,8969108,0.3613,Y,D984,NOTE-51384
00000212,A67423,SAMPLE-A-0000212,C1,20240826,4588226,0.4428,N,D109,NOTE-19234
00000213,A12293,SAMPLE-A-0000213,A2,20230321,1874277,0.4501,Y,D169,NOTE-87252
00000214,A20989,SAMPLE-A-0000214,A2,20250626,5355249,0.1763,Y,D520,NOTE-97414
00000215,A66419,SAMPLE-A-0000215,B1,20230506,7895275,0.8602,N,D816,NOTE-34750
00000216,A89976,SAMPLE-A-0000216,C1,20250212,4084871,0.6256,N,D345,NOTE-12509
00000217,A84065,SAMPLE-A-0000217,B1,20240715,2425234,0.4145,Y,D999,NOTE-53903
00000218,A88357,SAMPLE-A-0000218,A1,20250311,9014724,0.9190,N,D455,NOTE-18526
00000219,A93104,SAMPLE-A-0000219,B2,20231222,2563098,0.4423,Y,D710,NOTE-75802
00000220,A40010,SAMPLE-A-0000220,A1,20250606,7761266,0.2323,Y,D870,NOTE-99349
00000221,A92572,SAMPLE-A-0000221,A1,20250319,5678919,0.8994,N,D734,NOTE-06861
00000222,A05614,SAMPLE-A-0000222,A1,20250417,8954038,0.2797,N,D933,NOTE-55760
00000223,A29493,SAMPLE-A-0000223,A2,20250515,0699201,0.3116,N,D955,NOTE-22017
00000224,A85254,SAMPLE-A-0000224,B1,20250911,9098703,0.9252,N,D582,NOTE-91760
00000225,A87011,SAMPLE-A-0000225,B2,20250825,6974394,0.9485,Y,D536,NOTE-67557
00000226,A35197,SAMPLE-A-0000226,A2,20240606,8540314,0.0722,N,D548,NOTE-68992
00000227,A28598,SAMPLE-A-0000227,A1,20240524,2676704,0.4714,Y,D682,NOTE-16885
00000228,A75543,SAMPLE-A-0000228,C1,20250615,7876144,0.4719,Y,D705,NOTE-58069
00000229,A00575,SAMPLE-A-0000229,C1,20250324,5458869,0.3734,N,D689,NOTE-02664
00000230,A35307,SAMPLE-A-0000230,B2,20240321,8562855,0.7326,N,D644,NOTE-05016
00000231,A38427,SAMPLE-A-0000231,B1,20231202,5847217,0.8248,N,D316,NOTE-70252
00000232,A67884,SAMPLE-A-0000232,A1,20240209,2668840,0.9827,N,D056,NOTE-56491
00000233,A05839,SAMPLE-A-0000233,C1,20240222,0255573,0.8850,N,D584,NOTE-49880
00000234,A45275,SAMPLE-A-0000234,B1,20250812,2454263,0.1188,Y,D067,NOTE-88246
00000235,A42783,SAMPLE-A-0000235,B2,20231115,5476718,0.9412,N,D027,NOTE-90542
00000236,A53847,SAMPLE-A-0000236,A2,20251113,0788394,0.4293,Y,D961,NOTE-96292
00000237,A60673,SAMPLE-A-0000237,A1,20250207,8410635,0.5583,Y,D434,NOTE-14586
00000238,A95527,SAMPLE-A-0000238,A1,20250120,2358477,0.4456,N,D974,NOTE-24164
00000239,A72631,SAMPLE-A-0000239,B1,20250409,4041061,0.5649,Y,D270,NOTE-91098
00000240,A18755,SAMPLE-A-0000240,B1,20230113,2783518,0.3175,Y,D770,NOTE-10494
00000241,A16087,SAMPLE-A-0000241,C1,20250721,0043947,0.4462,N,D738,NOTE-34646
00000242,A97902,SAMPLE-A-0000242,C1,20240710,1585261,0.6881,Y,D763,NOTE-44885
00000243,A69118,SAMPLE-A-0000243,B1,20250917,0623687,0.3560,N,D180,NOTE-10626
00000244,A13614,SAMPLE-A-0000244,A1,20240626,5839081,0.5586,N,D372,NOTE-77150
00000245,A86000,SAMPLE-A-0000245,B1,20230423,3558172,0.0675,Y,D891,NOTE-29202
00000246,A28291,SAMPLE-A-0000246,C1,20240421,7179373,0.0668,Y,D736,NOTE-61066
00000247,A63919,SAMPLE-A-0000247,B2,20230206,9252517,0.7229,Y,D416,NOTE-82941
00000248,A46578,SAMPLE-A-0000248,B2,20241108,5760263,0.6925,Y,D598,NOTE-48387
00000249,A99229,SAMPLE-A-0000249,A1,20231109,3841857,0.6263,Y,D027,NOTE-67379
00000250,A75612,SAMPLE-A-0000250,A2,20240823,5579266,0.8875,Y,D691,NOTE-30347
00000251,A89079,SAMPLE-A-0000251,A2,20240320,8627002,0.6849,Y,D599,NOTE-21957
00000252,A79655,SAMPLE-A-0000252,C1,20240426,4178592,0.3592,N,D308,NOTE-15976
00000253,A74195,SAMPLE-A-0000253,A2,20231116,6954677,0.5017,N,D581,NOTE-23335
00000254,A48682,SAMPLE-A-0000254,A2,20240923,0370946,0.6807,Y,D619,NOTE-93177
00000255,A66597,SAMPLE-A-0000255,C1,20250703,2517932,0.8118,N,D309,NOTE-77028
00000256,A87715,SAMPLE-A-0000256,B2,20250504,9128807,0.9213,Y,D494,NOTE-18131
00000257,A09133,SAMPLE-A-0000257,A1,20250906,6865252,0.0596,N,D450,NOTE-51200
00000258,A16621,SAMPLE-A-0000258,A2,20231204,8815682,0.8283,Y,D338,NOTE-37967
00000259,A85754,SAMPLE-A-0000259,A1,20230915,2059178,0.8066,N,D415,NOTE-46379
00000260,A34265,SAMPLE-A-0000260,B2,20230728,7543040,0.8344,N,D428,NOTE-57693
00000261,A43870,SAMPLE-A-0000261,B1,20230620,5492547,0.3641,Y,D224,NOTE-56356
00000262,A87091,SAMPLE-A-0000262,B2,20230502,8973392,0.2758,Y,D781,NOTE-12615
00000263,A58184,SAMPLE-A-0000263,B1,20240505,0410793,0.1831,Y,D741,NOTE-49219
00000264,A26173,SAMPLE-A-0000264,B1,20231204,7391518,0.1019,Y,D164,NOTE-00212
00000265,A20011,SAMPLE-A-0000265,B2,20231016,4859608,0.3421,Y,D536,NOTE-01612
00000266,A52833,SAMPLE-A-0000266,B1,20241015,2078992,0.9613,Y,D240,NOTE-02094
00000267,A96481,SAMPLE-A-0000267,A2,20240520,5461504,0.8923,Y,D315,NOTE-89370
00000268,A65763,SAMPLE-A-0000268,A2,20240222,0777170,0.6942,N,D269,NOTE-20000
00000269,A40400,SAMPLE-A-0000269,B1,20240610,8817605,0.1606,N,D466,NOTE-50471
00000270,A56815,SAMPLE-A-0000270,A2,20240305,1838757,0.2497,Y,D210,NOTE-19226
00000271,A14164,SAMPLE-A-0000271,B2,20250506,4174719,0.4616,N,D550,NOTE-20360
00000272,A58232,SAMPLE-A-0000272,B2,20230425,2121654,0.8424,N,D011,NOTE-47938
00000273,A15680,SAMPLE-A-0000273,B1,20250816,0269761,0.0633,Y,D351,NOTE-88437
00000274,A65881,SAMPLE-A-0000274,B1,20250726,1761969,0.6398,N,D887,NOTE-17797
00000275,A49505,SAMPLE-A-0000275,B1,20240108,4986886,0.1759,Y,D536,NOTE-24991
