key1,key2,a_name,b_status,b_memo
00000040,00000729,SAMPLE-A-0000040,VOID,MEMO-64827
00000506,00000016,SAMPLE-A-0000506,DONE,MEMO-89868
00000189,00000303,SAMPLE-A-0000189,HOLD,MEMO-08160
00000179,00000590,SAMPLE-A-0000179,OPEN,MEMO-58926
00000019,00000877,SAMPLE-A-0000019,OPEN,MEMO-17608
00000159,00000164,SAMPLE-A-0000159,VOID,MEMO-73593
00000581,00000451,SAMPLE-A-0000581,VOID,MEMO-83749
00000166,00000738,SAMPLE-A-0000166,DONE,MEMO-42407
00000273,00000025,SAMPLE-A-0000273,HOLD,MEMO-73064
00000011,00000312,SAMPLE-A-0000011,HOLD,MEMO-36635
00000014,00000599,SAMPLE-A-0000014,HOLD,MEMO-03193
00000038,00000886,SAMPLE-A-0000038,DONE,MEMO-70932
00000014,00000173,SAMPLE-A-0000014,VOID,MEMO-85153
00000667,00000460,SAMPLE-A-0000667,HOLD,MEMO-50839
00000586,00000747,SAMPLE-A-0000586,DONE,MEMO-34321
00000200,00000034,SAMPLE-A-0000200,HOLD,MEMO-01091
00000029,00000321,SAMPLE-A-0000029,OPEN,MEMO-11840
00000545,00000608,SAMPLE-A-0000545,HOLD,MEMO-70002
00000370,00000895,SAMPLE-A-0000370,HOLD,MEMO-93167
00000369,00000182,SAMPLE-A-0000369,VOID,MEMO-65268
00000359,00000469,SAMPLE-A-0000359,HOLD,MEMO-31468
00000167,00000756,SAMPLE-A-0000167,HOLD,MEMO-46137
00000427,00000043,SAMPLE-A-0000427,OPEN,MEMO-70847
00000388,00000330,SAMPLE-A-0000388,OPEN,MEMO-20781
00000047,00000617,SAMPLE-A-0000047,VOID,MEMO-25199
00000289,00000904,SAMPLE-A-0000289,VOID,MEMO-06744
00000152,00000191,SAMPLE-A-0000152,OPEN,MEMO-73327
00000108,00000478,SAMPLE-A-0000108,DONE,MEMO-00190
00000027,00000765,SAMPLE-A-0000027,OPEN,MEMO-70310
00000606,00000052,SAMPLE-A-0000606,DONE,MEMO-33854
00000419,00000339,SAMPLE-A-0000419,HOLD,MEMO-67819
00000069,00000626,SAMPLE-A-0000069,DONE,MEMO-26145
00000168,00000913,SAMPLE-A-0000168,DONE,MEMO-11892
00000280,00000200,SAMPLE-A-0000280,HOLD,MEMO-16607
00000035,00000487,SAMPLE-A-0000035,DONE,MEMO-15396
00000299,00000774,SAMPLE-A-0000299,VOID,MEMO-30503
00000444,00000061,SAMPLE-A-0000444,OPEN,MEMO-32903
00000055,00000348,SAMPLE-A-0000055,DONE,MEMO-02775
00000344,00000635,SAMPLE-A-0000344,OPEN,MEMO-11226
00000558,00000922,SAMPLE-A-0000558,HOLD,MEMO-60716
00000030,00000209,SAMPLE-A-0000030,VOID,MEMO-88958
00000441,00000496,SAMPLE-A-0000441,HOLD,MEMO-39452
00000077,00000783,SAMPLE-A-0000077,HOLD,MEMO-35701
00000035,00000070,SAMPLE-A-0000035,DONE,MEMO-07458
00000559,00000357,SAMPLE-A-0000559,OPEN,MEMO-11592
00000538,00000644,SAMPLE-A-0000538,HOLD,MEMO-95840
00000435,00000931,SAMPLE-A-0000435,VOID,MEMO-62497
00000206,00000218,SAMPLE-A-0000206,VOID,MEMO-73084
00000498,00000505,SAMPLE-A-0000498,DONE,MEMO-25921
00000623,00000792,SAMPLE-A-0000623,DONE,MEMO-43067
00000431,00000079,SAMPLE-A-0000431,DONE,MEMO-60466
00000641,00000366,SAMPLE-A-0000641,VOID,MEMO-50141
00000052,00000653,SAMPLE-A-0000052,OPEN,MEMO-73998
00000568,00000940,SAMPLE-A-0000568,VOID,MEMO-50161
00000420,00000227,SAMPLE-A-0000420,VOID,MEMO-11257
00000066,00000514,SAMPLE-A-0000066,HOLD,MEMO-62202
00000131,00000801,SAMPLE-A-0000131,OPEN,MEMO-50044
00000123,00000088,SAMPLE-A-0000123,VOID,MEMO-36706
00000044,00000375,SAMPLE-A-0000044,HOLD,MEMO-35735
00000259,00000662,SAMPLE-A-0000259,OPEN,MEMO-09581
00000180,00000949,SAMPLE-A-0000180,HOLD,MEMO-92800
00000130,00000236,SAMPLE-A-0000130,HOLD,MEMO-47057
00000513,00000523,SAMPLE-A-0000513,DONE,MEMO-36700
00000405,00000810,SAMPLE-A-0000405,OPEN,MEMO-84655
00000053,00000097,SAMPLE-A-0000053,VOID,MEMO-33703
00000031,00000384,SAMPLE-A-0000031,DONE,MEMO-17001
00000094,00000671,SAMPLE-A-0000094,DONE,MEMO-79123
00000094,00000958,SAMPLE-A-0000094,HOLD,MEMO-97554
00000579,00000245,SAMPLE-A-0000579,HOLD,MEMO-61642
00000139,00000532,SAMPLE-A-0000139,VOID,MEMO-98287
00000124,00000819,SAMPLE-A-0000124,OPEN,MEMO-18154
00000507,00000106,SAMPLE-A-0000507,OPEN,MEMO-55964
00000366,00000393,SAMPLE-A-0000366,HOLD,MEMO-66335
00000553,00000680,SAMPLE-A-0000553,OPEN,MEMO-04694
00000395,00000967,SAMPLE-A-0000395,HOLD,MEMO-41823
00000350,00000254,SAMPLE-A-0000350,OPEN,MEMO-51513
00000051,00000541,SAMPLE-A-0000051,OPEN,MEMO-04152
00000001,00000828,SAMPLE-A-0000001,HOLD,MEMO-86757
00000664,00000115,SAMPLE-A-0000664,HOLD,MEMO-70902
00000008,00000402,SAMPLE-A-0000008,DONE,MEMO-15862
00000072,00000976,SAMPLE-A-0000072,OPEN,MEMO-30160
00000343,00000263,SAMPLE-A-0000343,VOID,MEMO-16774
00000622,00000550,SAMPLE-A-0000622,OPEN,MEMO-03330
00000490,00000837,SAMPLE-A-0000490,OPEN,MEMO-91978
00000292,00000124,SAMPLE-A-0000292,DONE,MEMO-04295
00000297,00000411,SAMPLE-A-0000297,DONE,MEMO-55185
00000147,00000698,SAMPLE-A-0000147,VOID,MEMO-20208
00000001,00000985,SAMPLE-A-0000001,DONE,MEMO-86618
00000012,00000272,SAMPLE-A-0000012,OPEN,MEMO-89667
00000050,00000559,SAMPLE-A-0000050,VOID,MEMO-98353
00000041,00000846,SAMPLE-A-0000041,VOID,MEMO-31324
00000197,00000133,SAMPLE-A-0000197,VOID,MEMO-63834
00000428,00000420,SAMPLE-A-0000428,VOID,MEMO-48418
00000633,00000707,SAMPLE-A-0000633,OPEN,MEMO-06483
00000148,00000994,SAMPLE-A-0000148,OPEN,MEMO-53167
00000602,00000281,SAMPLE-A-0000602,OPEN,MEMO-04081
00000107,00000568,SAMPLE-A-0000107,VOID,MEMO-99276
00000009,00000855,SAMPLE-A-0000009,OPEN,MEMO-58123
00000298,00000142,SAMPLE-A-0000298,OPEN,MEMO-55136
00000636,00000429,SAMPLE-A-0000636,OPEN,MEMO-65617
00000201,00000716,SAMPLE-A-0000201,OPEN,MEMO-40251
00000047,00000003,SAMPLE-A-0000047,HOLD,MEMO-84486
00000632,00000290,SAMPLE-A-0000632,DONE,MEMO-17835
00000069,00000577,SAMPLE-A-0000069,DONE,MEMO-52747
00000616,00000864,SAMPLE-A-0000616,OPEN,MEMO-56610
00000174,00000151,SAMPLE-A-0000174,DONE,MEMO-79924
00000670,00000438,SAMPLE-A-0000670,OPEN,MEMO-42647
00000017,00000725,SAMPLE-A-0000017,HOLD,MEMO-46004
00000097,00000012,SAMPLE-A-0000097,HOLD,MEMO-92244
00000685,00000299,SAMPLE-A-0000685,OPEN,MEMO-54910
00000412,00000586,SAMPLE-A-0000412,HOLD,MEMO-15327
00000332,00000873,SAMPLE-A-0000332,HOLD,MEMO-43778
00000083,00000160,SAMPLE-A-0000083,DONE,MEMO-38105
00000476,00000447,SAMPLE-A-0000476,OPEN,MEMO-21715
00000006,00000734,SAMPLE-A-0000006,DONE,MEMO-80058
00000151,00000021,SAMPLE-A-0000151,OPEN,MEMO-57393
00000023,00000308,SAMPLE-A-0000023,HOLD,MEMO-83939
00000520,00000595,SAMPLE-A-0000520,DONE,MEMO-08477
00000134,00000882,SAMPLE-A-0000134,OPEN,MEMO-54492
00000064,00000169,SAMPLE-A-0000064,HOLD,MEMO-75338
00000126,00000456,SAMPLE-A-0000126,HOLD,MEMO-37860
00000028,00000743,SAMPLE-A-0000028,DONE,MEMO-70381
00000274,00000030,SAMPLE-A-0000274,OPEN,MEMO-66311
00000065,00000317,SAMPLE-A-0000065,OPEN,MEMO-24256
00000317,00000604,SAMPLE-A-0000317,DONE,MEMO-85615
00000627,00000891,SAMPLE-A-0000627,DONE,MEMO-17116
00000649,00000178,SAMPLE-A-0000649,DONE,MEMO-15726
00000053,00000465,SAMPLE-A-0000053,OPEN,MEMO-36016
00000608,00000752,SAMPLE-A-0000608,HOLD,MEMO-69567
00000265,00000039,SAMPLE-A-0000265,DONE,MEMO-35529
00000128,00000326,SAMPLE-A-0000128,OPEN,MEMO-01947
00000048,00000613,SAMPLE-A-0000048,VOID,MEMO-54403
00000708,00000900,SAMPLE-A-0000708,HOLD,MEMO-25196
00000115,00000187,SAMPLE-A-0000115,DONE,MEMO-33731
00000045,00000474,SAMPLE-A-0000045,DONE,MEMO-97363
00000383,00000761,SAMPLE-A-0000383,DONE,MEMO-52477
00000560,00000048,SAMPLE-A-0000560,OPEN,MEMO-47688
00000336,00000335,SAMPLE-A-0000336,HOLD,MEMO-08532
00000354,00000622,SAMPLE-A-0000354,OPEN,MEMO-17447
00000034,00000909,SAMPLE-A-0000034,HOLD,MEMO-07434
00000001,00000196,SAMPLE-A-0000001,VOID,MEMO-17610
00000020,00000483,SAMPLE-A-0000020,DONE,MEMO-33726
00000002,00000770,SAMPLE-A-0000002,DONE,MEMO-33765
00000357,00000057,SAMPLE-A-0000357,OPEN,MEMO-27995
00000190,00000344,SAMPLE-A-0000190,OPEN,MEMO-04318
00000186,00000631,SAMPLE-A-0000186,HOLD,MEMO-45393
00000393,00000918,SAMPLE-A-0000393,OPEN,MEMO-99478
00000199,00000205,SAMPLE-A-0000199,OPEN,MEMO-02161
00000024,00000492,SAMPLE-A-0000024,OPEN,MEMO-29765
00000683,00000779,SAMPLE-A-0000683,DONE,MEMO-34640
00000150,00000066,SAMPLE-A-0000150,HOLD,MEMO-70185
00000425,00000353,SAMPLE-A-0000425,VOID,MEMO-46376
00000384,00000640,SAMPLE-A-0000384,DONE,MEMO-16389
00000578,00000927,SAMPLE-A-0000578,VOID,MEMO-44032
00000523,00000214,SAMPLE-A-0000523,DONE,MEMO-22637
00000251,00000501,SAMPLE-A-0000251,DONE,MEMO-73458
00000245,00000788,SAMPLE-A-0000245,OPEN,MEMO-57514
00000048,00000075,SAMPLE-A-0000048,HOLD,MEMO-65905
00000478,00000362,SAMPLE-A-0000478,HOLD,MEMO-36490
00000330,00000649,SAMPLE-A-0000330,OPEN,MEMO-84711
00000062,00000936,SAMPLE-A-0000062,HOLD,MEMO-88744
00000187,00000223,SAMPLE-A-0000187,VOID,MEMO-03457
00000697,00000510,SAMPLE-A-0000697,VOID,MEMO-74034
00000391,00000797,SAMPLE-A-0000391,OPEN,MEMO-21815
00000563,00000084,SAMPLE-A-0000563,OPEN,MEMO-53460
00000329,00000371,SAMPLE-A-0000329,HOLD,MEMO-67953
00000589,00000658,SAMPLE-A-0000589,DONE,MEMO-41849
00000525,00000945,SAMPLE-A-0000525,VOID,MEMO-13972
00000235,00000232,SAMPLE-A-0000235,OPEN,MEMO-72036
00000079,00000519,SAMPLE-A-0000079,HOLD,MEMO-93879
00000702,00000806,SAMPLE-A-0000702,OPEN,MEMO-17060
00000149,00000093,SAMPLE-A-0000149,DONE,MEMO-52133
00000060,00000380,SAMPLE-A-0000060,VOID,MEMO-51505
00000626,00000667,SAMPLE-A-0000626,OPEN,MEMO-02353
00000372,00000954,SAMPLE-A-0000372,VOID,MEMO-60996
00000006,00000241,SAMPLE-A-0000006,DONE,MEMO-02893
00000695,00000528,SAMPLE-A-0000695,VOID,MEMO-37248
00000378,00000815,SAMPLE-A-0000378,HOLD,MEMO-77115
00000042,00000102,SAMPLE-A-0000042,OPEN,MEMO-20804
00000680,00000389,SAMPLE-A-0000680,VOID,MEMO-62556
00000557,00000676,SAMPLE-A-0000557,DONE,MEMO-15854
00000016,00000963,SAMPLE-A-0000016,VOID,MEMO-60110
00000142,00000250,SAMPLE-A-0000142,DONE,MEMO-92008
00000053,00000537,SAMPLE-A-0000053,DONE,MEMO-15627
00000283,00000824,SAMPLE-A-0000283,HOLD,MEMO-30361
00000160,00000111,SAMPLE-A-0000160,VOID,MEMO-32649
00000659,00000398,SAMPLE-A-0000659,HOLD,MEMO-65578
00000003,00000685,SAMPLE-A-0000003,HOLD,MEMO-47885
00000199,00000972,SAMPLE-A-0000199,VOID,MEMO-08544
00000673,00000259,SAMPLE-A-0000673,DONE,MEMO-32344
00000493,00000546,SAMPLE-A-0000493,OPEN,MEMO-54693
00000527,00000833,SAMPLE-A-0000527,OPEN,MEMO-41510
00000575,00000120,SAMPLE-A-0000575,HOLD,MEMO-67163
00000104,00000407,SAMPLE-A-0000104,OPEN,MEMO-56292
00000294,00000694,SAMPLE-A-0000294,OPEN,MEMO-41311
00000049,00000981,SAMPLE-A-0000049,DONE,MEMO-59785
00000642,00000268,SAMPLE-A-0000642,HOLD,MEMO-56984
00000099,00000555,SAMPLE-A-0000099,VOID,MEMO-95238
00000263,00000842,SAMPLE-A-0000263,VOID,MEMO-82566
00000574,00000129,SAMPLE-A-0000574,VOID,MEMO-94960
00000076,00000416,SAMPLE-A-0000076,VOID,MEMO-30882
00000129,00000703,SAMPLE-A-0000129,DONE,MEMO-28606
00000304,00000990,SAMPLE-A-0000304,DONE,MEMO-36768
00000075,00000277,SAMPLE-A-0000075,OPEN,MEMO-43349
00000014,00000564,SAMPLE-A-0000014,DONE,MEMO-50041
00000449,00000851,SAMPLE-A-0000449,VOID,MEMO-51228
00000175,00000138,SAMPLE-A-0000175,OPEN,MEMO-26210
00000079,00000425,SAMPLE-A-0000079,DONE,MEMO-09980
00000129,00000712,SAMPLE-A-0000129,HOLD,MEMO-42731
00000042,00000999,SAMPLE-A-0000042,HOLD,MEMO-60828
00000147,00000286,SAMPLE-A-0000147,HOLD,MEMO-41220
00000173,00000573,SAMPLE-A-0000173,VOID,MEMO-53354
00000266,00000860,SAMPLE-A-0000266,HOLD,MEMO-37462
00000005,00000147,SAMPLE-A-0000005,HOLD,MEMO-40670
00000176,00000434,SAMPLE-A-0000176,OPEN,MEMO-58863
00000135,00000721,SAMPLE-A-0000135,DONE,MEMO-05044
00000494,00000008,SAMPLE-A-0000494,DONE,MEMO-20820
00000063,00000295,SAMPLE-A-0000063,VOID,MEMO-06458
00000504,00000582,SAMPLE-A-0000504,OPEN,MEMO-11192
00000556,00000869,SAMPLE-A-0000556,OPEN,MEMO-77234
00000137,00000156,SAMPLE-A-0000137,HOLD,MEMO-72532
00000381,00000443,SAMPLE-A-0000381,OPEN,MEMO-84282
00000118,00000730,SAMPLE-A-0000118,DONE,MEMO-38452
00000109,00000017,SAMPLE-A-0000109,OPEN,MEMO-56064
00000353,00000304,SAMPLE-A-0000353,HOLD,MEMO-71525
00000612,00000591,SAMPLE-A-0000612,VOID,MEMO-43014
00000091,00000878,SAMPLE-A-0000091,DONE,MEMO-91066
00000367,00000165,SAMPLE-A-0000367,OPEN,MEMO-12237
00000303,00000452,SAMPLE-A-0000303,HOLD,MEMO-05217
00000143,00000739,SAMPLE-A-0000143,HOLD,MEMO-40421
00000651,00000026,SAMPLE-A-0000651,VOID,MEMO-44025
00000140,00000313,SAMPLE-A-0000140,HOLD,MEMO-48341
00000172,00000600,SAMPLE-A-0000172,OPEN,MEMO-08809
00000024,00000887,SAMPLE-A-0000024,HOLD,MEMO-44648
00000128,00000174,SAMPLE-A-0000128,OPEN,MEMO-48958
00000016,00000461,SAMPLE-A-0000016,DONE,MEMO-14135
00000436,00000748,SAMPLE-A-0000436,HOLD,MEMO-69212
00000039,00000035,SAMPLE-A-0000039,OPEN,MEMO-46782
00000315,00000322,SAMPLE-A-0000315,HOLD,MEMO-52034
00000650,00000609,SAMPLE-A-0000650,OPEN,MEMO-78661
00000407,00000896,SAMPLE-A-0000407,DONE,MEMO-56620
00000472,00000183,SAMPLE-A-0000472,HOLD,MEMO-95150
00000466,00000470,SAMPLE-A-0000466,VOID,MEMO-43605
00000268,00000757,SAMPLE-A-0000268,DONE,MEMO-74851
00000154,00000044,SAMPLE-A-0000154,DONE,MEMO-42657
00000181,00000331,SAMPLE-A-0000181,HOLD,MEMO-24231
00000243,00000618,SAMPLE-A-0000243,VOID,MEMO-91929
00000401,00000905,SAMPLE-A-0000401,DONE,MEMO-44135
00000084,00000192,SAMPLE-A-0000084,HOLD,MEMO-40406
00000045,00000479,SAMPLE-A-0000045,DONE,MEMO-05814
00000682,00000766,SAMPLE-A-0000682,OPEN,MEMO-95311
00000692,00000053,SAMPLE-A-0000692,VOID,MEMO-69797
00000549,00000340,SAMPLE-A-0000549,VOID,MEMO-89282
00000684,00000627,SAMPLE-A-0000684,HOLD,MEMO-89350
00000120,00000914,SAMPLE-A-0000120,HOLD,MEMO-70211
00000119,00000201,SAMPLE-A-0000119,VOID,MEMO-60574
00000473,00000488,SAMPLE-A-0000473,OPEN,MEMO-13657
00000038,00000775,SAMPLE-A-0000038,HOLD,MEMO-11993
00000133,00000062,SAMPLE-A-0000133,VOID,MEMO-89638
00000110,00000349,SAMPLE-A-0000110,OPEN,MEMO-92899
00000398,00000636,SAMPLE-A-0000398,HOLD,MEMO-74222
00000487,00000923,SAMPLE-A-0000487,DONE,MEMO-11820
00000155,00000210,SAMPLE-A-0000155,VOID,MEMO-94964
00000421,00000497,SAMPLE-A-0000421,DONE,MEMO-99104
00000132,00000784,SAMPLE-A-0000132,DONE,MEMO-29800
00000693,00000071,SAMPLE-A-0000693,DONE,MEMO-77416
00000500,00000358,SAMPLE-A-0000500,OPEN,MEMO-37875
00000565,00000645,SAMPLE-A-0000565,HOLD,MEMO-71273
00000085,00000932,SAMPLE-A-0000085,OPEN,MEMO-85239
00000593,00000219,SAMPLE-A-0000593,DONE,MEMO-77603
00000314,00000506,SAMPLE-A-0000314,DONE,MEMO-22945
00000617,00000793,SAMPLE-A-0000617,VOID,MEMO-62831
00000375,00000080,SAMPLE-A-0000375,DONE,MEMO-00961
00000184,00000367,SAMPLE-A-0000184,OPEN,MEMO-61086
00000105,00000654,SAMPLE-A-0000105,HOLD,MEMO-47865
00000122,00000941,SAMPLE-A-0000122,DONE,MEMO-92731
00000582,00000228,SAMPLE-A-0000582,HOLD,MEMO-41547
00000023,00000515,SAMPLE-A-0000023,OPEN,MEMO-07492
00000347,00000802,SAMPLE-A-0000347,OPEN,MEMO-28504
00000416,00000089,SAMPLE-A-0000416,HOLD,MEMO-32146
00000039,00000376,SAMPLE-A-0000039,OPEN,MEMO-22199
00000015,00000663,SAMPLE-A-0000015,OPEN,MEMO-33163
00000089,00000950,SAMPLE-A-0000089,OPEN,MEMO-54929
00000145,00000237,SAMPLE-A-0000145,OPEN,MEMO-14498
00000305,00000524,SAMPLE-A-0000305,OPEN,MEMO-09233
00000495,00000811,SAMPLE-A-0000495,HOLD,MEMO-06588
00000188,00000098,SAMPLE-A-0000188,DONE,MEMO-26343
00001002,00000385,,HOLD,MEMO-33294
00000509,00000672,SAMPLE-A-0000509,HOLD,MEMO-19386
00000422,00000959,SAMPLE-A-0000422,HOLD,MEMO-68753
00000020,00000246,SAMPLE-A-0000020,HOLD,MEMO-51107
00000172,00000533,SAMPLE-A-0000172,VOID,MEMO-31001
00000352,00000820,SAMPLE-A-0000352,VOID,MEMO-74837
00000188,00000107,SAMPLE-A-0000188,HOLD,MEMO-89698
00000510,00000394,SAMPLE-A-0000510,OPEN,MEMO-86135
00000030,00000681,SAMPLE-A-0000030,HOLD,MEMO-47750
00000546,00000968,SAMPLE-A-0000546,VOID,MEMO-15730
00000033,00000255,SAMPLE-A-0000033,DONE,MEMO-26037
00000013,00000542,SAMPLE-A-0000013,HOLD,MEMO-01054
00000592,00000829,SAMPLE-A-0000592,VOID,MEMO-16500
00000526,00000116,SAMPLE-A-0000526,DONE,MEMO-52124
00000021,00000403,SAMPLE-A-0000021,HOLD,MEMO-13222
00000088,00000690,SAMPLE-A-0000088,DONE,MEMO-73877
00000403,00000977,SAMPLE-A-0000403,VOID,MEMO-46072
00000024,00000264,SAMPLE-A-0000024,VOID,MEMO-52383
00000210,00000551,SAMPLE-A-0000210,VOID,MEMO-20910
00000640,00000838,SAMPLE-A-0000640,OPEN,MEMO-39973
00000143,00000125,SAMPLE-A-0000143,VOID,MEMO-40032
00000516,00000412,SAMPLE-A-0000516,HOLD,MEMO-57089
00000451,00000699,SAMPLE-A-0000451,OPEN,MEMO-69033
00000639,00000986,SAMPLE-A-0000639,OPEN,MEMO-35718
00000166,00000273,SAMPLE-A-0000166,HOLD,MEMO-44771
00000052,00000560,SAMPLE-A-0000052,DONE,MEMO-71811
00000534,00000847,SAMPLE-A-0000534,OPEN,MEMO-82454
00000163,00000134,SAMPLE-A-0000163,HOLD,MEMO-43089
00000634,00000421,SAMPLE-A-0000634,VOID,MEMO-21759
00000442,00000708,SAMPLE-A-0000442,VOID,MEMO-17402
00000517,00000995,SAMPLE-A-0000517,OPEN,MEMO-49076
00000123,00000282,SAMPLE-A-0000123,HOLD,MEMO-81555
00000081,00000569,SAMPLE-A-0000081,HOLD,MEMO-05133
00000203,00000856,SAMPLE-A-0000203,HOLD,MEMO-12435
00000242,00000143,SAMPLE-A-0000242,OPEN,MEMO-06651
00000037,00000430,SAMPLE-A-0000037,HOLD,MEMO-31574
00000002,00000717,SAMPLE-A-0000002,OPEN,MEMO-23011
00000156,00000004,SAMPLE-A-0000156,HOLD,MEMO-76603
00000007,00000291,SAMPLE-A-0000007,VOID,MEMO-16683
00000311,00000578,SAMPLE-A-0000311,OPEN,MEMO-73527
00000028,00000865,SAMPLE-A-0000028,OPEN,MEMO-84879
00000150,00000152,SAMPLE-A-0000150,VOID,MEMO-55672
00000331,00000439,SAMPLE-A-0000331,DONE,MEMO-90457
00000471,00000726,SAMPLE-A-0000471,OPEN,MEMO-19926
00000040,00000013,SAMPLE-A-0000040,VOID,MEMO-62189
00000102,00000300,SAMPLE-A-0000102,OPEN,MEMO-48585
00000131,00000587,SAMPLE-A-0000131,VOID,MEMO-50813
00000174,00000874,SAMPLE-A-0000174,DONE,MEMO-10035
00000080,00000161,SAMPLE-A-0000080,VOID,MEMO-09706
00000514,00000448,SAMPLE-A-0000514,OPEN,MEMO-32390
00000270,00000735,SAMPLE-A-0000270,VOID,MEMO-34071
00000029,00000022,SAMPLE-A-0000029,VOID,MEMO-97271
00000023,00000309,SAMPLE-A-0000023,DONE,MEMO-03374
00000643,00000596,SAMPLE-A-0000643,OPEN,MEMO-80208
00000430,00000883,SAMPLE-A-0000430,OPEN,MEMO-77525
00000049,00000170,SAMPLE-A-0000049,OPEN,MEMO-60496
00000162,00000457,SAMPLE-A-0000162,VOID,MEMO-78676
00000065,00000744,SAMPLE-A-0000065,OPEN,MEMO-13295
00000071,00000031,SAMPLE-A-0000071,OPEN,MEMO-56687
00000316,00000318,SAMPLE-A-0000316,VOID,MEMO-98584
00000168,00000605,SAMPLE-A-0000168,DONE,MEMO-19965
00000058,00000892,SAMPLE-A-0000058,OPEN,MEMO-34781
00000417,00000179,SAMPLE-A-0000417,OPEN,MEMO-91813
00001001,00000466,,DONE,MEMO-27703
00000318,00000753,SAMPLE-A-0000318,OPEN,MEMO-57291
00000112,00000040,SAMPLE-A-0000112,DONE,MEMO-33531
00000341,00000327,SAMPLE-A-0000341,DONE,MEMO-07265
00000084,00000614,SAMPLE-A-0000084,DONE,MEMO-50932
