key2,b_ref
00000100,REF-00000554
00000387,REF-00000296
00000674,REF-00000152
00000248,REF-00000097
00000535,REF-00000363
00000822,REF-00000004
00000109,REF-00000291
00000396,REF-00000660
00000683,REF-00000088
00000970,REF-00000208
00000257,REF-00000125
00000831,REF-00000169
00000118,REF-00000077
00000405,REF-00000690
00000692,REF-00000183
00000979,REF-00000694
00000266,REF-00000463
00000553,REF-00000282
00000840,REF-00000569
00000127,REF-00000178
00000414,REF-00000423
00000701,REF-00000090
00000988,REF-00000567
00000275,REF-00000261
00000562,REF-00000678
00000849,REF-00000140
00000136,REF-00000550
00000710,REF-00000257
00000284,REF-00000346
00000571,REF-00000015
00000858,REF-00000107
00000145,REF-00000032
00000432,REF-00000019
00000719,REF-00000300
00000006,REF-00000061
00000293,REF-00000480
00000154,REF-00000031
00000728,REF-00000155
00000015,REF-00000240
00000302,REF-00000067
00000589,REF-00000601
00000876,REF-00000342
00000163,REF-00000111
00000450,REF-00000469
00000737,REF-00000203
00000024,REF-00000185
00000311,REF-00000191
00000598,REF-00000635
00000885,REF-00000676
00000172,REF-00000397
00000459,REF-00000082
00000746,REF-00000410
00000033,REF-00000070
00000320,REF-00000537
00000607,REF-00000542
00000894,REF-00000645
00000181,REF-00000364
00000468,REF-00000075
00000755,REF-00000400
00000042,REF-00000374
00000329,REF-00000648
00000616,REF-00000621
00000903,REF-00000445
00000190,REF-00000002
00000477,REF-00000246
00000764,REF-00000195
00000051,REF-00000109
00000338,REF-00000475
00000625,REF-00000207
00000912,REF-00000060
00000486,REF-00000239
00000060,REF-00000154
00000347,REF-00000307
00000634,REF-00000705
00000921,REF-00000437
00000208,REF-00000085
00000495,REF-00000050
00000069,REF-00000452
00000356,REF-00000345
00000643,REF-00000433
00000930,REF-00000157
00000504,REF-00000005
00000791,REF-00000177
00000078,REF-00000165
00000365,REF-00000198
00000652,REF-00000194
00000939,REF-00000389
00000226,REF-00000355
00000513,REF-00000502
00000800,REF-00000182
00000087,REF-00000262
00000374,REF-00000687
00000809,REF-00000247
00000383,REF-00000286
00000670,REF-00000099
00000957,REF-00000337
00000818,REF-00000091
00000105,REF-00000335
00000392,REF-00000547
00000679,REF-00000610
00000966,REF-00000396
00000253,REF-00000173
00000540,REF-00000599
00000827,REF-00000485
00000114,REF-00000474
00000401,REF-00000688
00000688,REF-00000583
00000975,REF-00000544
00000549,REF-00000321
00000836,REF-00000254
00000410,REF-00000163
00000697,REF-00000468
00000984,REF-00000057
00000271,REF-00000145
00000558,REF-00000156
00000845,REF-00000256
00000132,REF-00000439
00000419,REF-00000328
00000993,REF-00000039
00000280,REF-00000647
00000567,REF-00000118
00000854,REF-00000365
00000141,REF-00000376
00000428,REF-00000272
00000002,REF-00000133
00000289,REF-00000454
00000576,REF-00000277
00000863,REF-00001010
00000437,REF-00000392
00000011,REF-00000136
00000298,REF-00000086
00000585,REF-00000409
00000872,REF-00000387
00000446,REF-00000206
00000733,REF-00000415
00000020,REF-00000161
00000307,REF-00000481
00000881,REF-00000083
00000455,REF-00000320
00000029,REF-00000675
00000890,REF-00000074
00000177,REF-00000028
00000464,REF-00000078
00000751,REF-00000006
00000038,REF-00000201
00000325,REF-00000035
00000612,REF-00000668
00000899,REF-00000162
00000473,REF-00000022
00000760,REF-00000338
00000908,REF-00000413
00000195,REF-00000555
00000482,REF-00000470
00000769,REF-00000056
00000056,REF-00000411
00000343,REF-00000055
00000630,REF-00000281
00000917,REF-00000464
00000204,REF-00000135
00000491,REF-00000124
00000778,REF-00000552
00000065,REF-00000308
00000352,REF-00000049
00000639,REF-00000114
00000213,REF-00000284
00000500,REF-00000202
00000787,REF-00000048
00000074,REF-00000512
00000935,REF-00000628
00000222,REF-00000408
00000796,REF-00000081
00000083,REF-00000492
00000370,REF-00000144
00000657,REF-00000137
00000944,REF-00000629
00000231,REF-00000426
00000805,REF-00000204
00000092,REF-00000440
00000666,REF-00000210
00000953,REF-00000597
00000527,REF-00000652
00000814,REF-00000456
00000101,REF-00000333
00000675,REF-00000309
00000249,REF-00000021
00000110,REF-00000625
00000397,REF-00000522
00000971,REF-00000672
00000832,REF-00000609
00000119,REF-00000205
00000406,REF-00000260
00000693,REF-00000051
00000980,REF-00000071
00000554,REF-00000038
00000128,REF-00000319
00000415,REF-00000503
00000702,REF-00000707
00000563,REF-00000402
00000137,REF-00000501
00000424,REF-00000590
00000711,REF-00000001
00000998,REF-00000160
00000285,REF-00000287
00000572,REF-00000414
00000859,REF-00000615
00000146,REF-00000020
00000433,REF-00000665
00000720,REF-00000158
00000007,REF-00000288
00000294,REF-00000030
00000581,REF-00000404
00000868,REF-00000044
