key1,key2,b_ref,b_date,b_qty,b_unit,b_total,b_status,b_line,b_memo
00000548,00000324,REF-00000548,20240616,655,55907,36619085,HOLD,001,MEMO-12584
00000018,00000611,REF-00000018,20250120,700,85468,59827600,VOID,003,MEMO-21838
00000658,00000898,REF-00000658,20250917,716,74649,53448684,VOID,001,MEMO-81983
00000138,00000185,REF-00000138,20230417,370,48356,17891720,OPEN,001,MEMO-94108
00000011,00000472,REF-00000011,20231009,491,68517,33641847,DONE,002,MEMO-09774
00000113,00000759,REF-00000113,20230515,825,23357,19269525,HOLD,001,MEMO-53412
00000594,00000046,REF-00000594,20240616,101,93090,09402090,OPEN,001,MEMO-79941
00000054,00000333,REF-00000054,20241224,931,01504,01400224,VOID,001,MEMO-61217
00000121,00000620,REF-00000121,20230406,338,40537,13701506,OPEN,002,MEMO-92914
00000224,,REF-00000224,20250818,859,35503,30497077,HOLD,001,MEMO-06660
00000271,00000194,REF-00000271,20231026,867,88294,76550898,DONE,001,MEMO-73335
00000696,00000481,REF-00000696,20240126,136,47825,06504200,OPEN,001,MEMO-82404
00000101,00000768,REF-00000101,20250813,707,24794,17529358,HOLD,001,MEMO-77157
00000348,00000055,REF-00000348,20240407,951,27641,26286591,DONE,001,MEMO-98123
00000698,00000342,REF-00000698,20250802,049,14849,00727601,HOLD,001,MEMO-95993
00000132,00000629,REF-00000132,20251125,034,83434,02836756,DONE,002,MEMO-56483
00000462,00000916,REF-00000462,20231228,108,87393,09438444,VOID,001,MEMO-11559
00000164,00000203,REF-00000164,20250821,310,02109,00653790,DONE,002,MEMO-23761
00000584,00000490,REF-00000584,20230107,268,32750,08777000,HOLD,001,MEMO-28794
00000170,00000777,REF-00000170,20250205,615,62655,38532825,VOID,001,MEMO-50928
00000046,00000064,REF-00000046,20241201,259,33819,08759121,VOID,002,MEMO-03611
00000326,00000351,REF-00000326,20231128,182,01278,00232596,VOID,001,MEMO-22315
00000377,00000638,REF-00000377,20250828,006,13914,00083484,DONE,001,MEMO-39923
00000382,00000925,REF-00000382,20231106,984,84715,83359560,VOID,001,MEMO-22405
00000142,00000212,REF-00000142,20251123,635,92138,58507630,HOLD,002,MEMO-87362
00000076,00000499,REF-00000076,20240618,085,48045,04083825,HOLD,002,MEMO-12991
00000064,00000786,REF-00000064,20251225,911,62201,56665111,VOID,002,MEMO-83705
00000386,00000073,REF-00000386,20240406,160,73083,11693280,VOID,001,MEMO-45877
00000371,00000360,REF-00000371,20230819,500,15138,07569000,OPEN,001,MEMO-63655
00000025,00000647,REF-00000025,20241007,318,40093,12749574,DONE,002,MEMO-74233
00000301,00000934,REF-00000301,20250606,180,12291,02212380,OPEN,001,MEMO-21435
00000360,00000221,REF-00000360,20230622,758,61320,46480560,DONE,001,MEMO-36222
00000618,00000508,REF-00000618,20241024,725,93755,67972375,HOLD,001,MEMO-23168
00000027,00000795,REF-00000027,20250306,803,99022,79514666,HOLD,003,MEMO-34342
00000146,00000082,REF-00000146,20240418,489,31878,15588342,DONE,001,MEMO-90037
00000656,00000369,REF-00000656,20241111,204,39103,07977012,DONE,001,MEMO-59504
00000043,00000656,REF-00000043,20250814,274,63187,17313238,VOID,003,MEMO-28808
00000179,00000943,REF-00000179,20231108,357,96699,34521543,VOID,002,MEMO-73643
00000104,00000230,REF-00000104,20250222,154,03246,00499884,VOID,001,MEMO-12188
00000276,00000517,REF-00000276,20250323,257,56181,14438517,HOLD,001,MEMO-10974
00000225,,REF-00000225,20251014,418,16583,06931694,OPEN,001,MEMO-14612
00000691,00000091,REF-00000691,20251104,194,50530,09802820,HOLD,001,MEMO-32005
00000530,00000378,REF-00000530,20241103,570,56476,32191320,DONE,001,MEMO-56682
00000446,00000665,REF-00000446,20250405,149,49838,07425862,DONE,001,MEMO-62879
00000571,00000952,REF-00000571,20231114,914,75589,69088346,VOID,001,MEMO-01073
00000234,00000239,REF-00000234,20230217,279,44447,12400713,DONE,001,MEMO-71553
00000351,00000526,REF-00000351,20231101,595,13200,07854000,DONE,001,MEMO-62513
00000013,00000813,REF-00000013,20231217,219,74757,16371783,HOLD,003,MEMO-41031
00000554,00000100,REF-00000554,20230312,785,94431,74128335,VOID,001,MEMO-99295
00000296,00000387,REF-00000296,20230703,118,15367,01813306,VOID,001,MEMO-14761
00000152,00000674,REF-00000152,20250918,295,86696,25575320,VOID,002,MEMO-58515
00000193,00000961,REF-00000193,20230702,838,33239,27854282,VOID,002,MEMO-71792
00000097,00000248,REF-00000097,20250907,677,80147,54259519,VOID,001,MEMO-11323
00000363,00000535,REF-00000363,20230228,088,74469,06553272,DONE,001,MEMO-10355
00000004,00000822,REF-00000004,20241019,793,19543,15497599,HOLD,001,MEMO-47316
00000291,00000109,REF-00000291,20230807,456,07331,03342936,OPEN,001,MEMO-66250
00000660,00000396,REF-00000660,20250607,607,71362,43316734,OPEN,001,MEMO-01847
00000088,00000683,REF-00000088,20250805,445,39018,17363010,DONE,001,MEMO-89972
00000208,00000970,REF-00000208,20250228,570,14046,08006220,OPEN,001,MEMO-91865
00000125,00000257,REF-00000125,20230512,077,72574,05588198,HOLD,002,MEMO-12369
00000058,00000544,REF-00000058,20230807,176,20091,03536016,OPEN,002,MEMO-26695
00000169,00000831,REF-00000169,20241224,062,05608,00347696,VOID,002,MEMO-97953
00000077,00000118,REF-00000077,20230228,584,23378,13652752,DONE,002,MEMO-54178
00000690,00000405,REF-00000690,20240404,021,80561,01691781,DONE,001,MEMO-00298
00000183,00000692,REF-00000183,20241223,088,68038,05987344,VOID,001,MEMO-48520
00000694,00000979,REF-00000694,20251111,674,95802,64570548,HOLD,001,MEMO-39323
00000463,00000266,REF-00000463,20240703,774,65967,51058458,DONE,001,MEMO-97409
00000282,00000553,REF-00000282,20250904,574,53548,30736552,VOID,001,MEMO-93750
00000569,00000840,REF-00000569,20230228,524,69207,36264468,DONE,001,MEMO-39242
00000178,00000127,REF-00000178,20250808,929,62479,58042991,DONE,002,MEMO-38714
00000423,00000414,REF-00000423,20230813,660,67744,44711040,VOID,001,MEMO-43301
00000090,00000701,REF-00000090,20250528,050,30803,01540150,VOID,001,MEMO-95979
00000567,00000988,REF-00000567,20231003,385,05314,02045890,DONE,001,MEMO-34251
00000261,00000275,REF-00000261,20230226,543,79558,43199994,DONE,001,MEMO-11975
00000678,00000562,REF-00000678,20240805,585,38251,22376835,VOID,001,MEMO-20722
00000140,00000849,REF-00000140,20230621,111,00722,00080142,DONE,002,MEMO-68915
00000550,00000136,REF-00000550,20241110,114,50431,05749134,DONE,001,MEMO-34304
00000222,,REF-00000222,20230312,643,04225,02716675,VOID,001,MEMO-60774
00000257,00000710,REF-00000257,20240926,759,13359,10139481,VOID,001,MEMO-19808
00000073,00000997,REF-00000073,20230522,992,86981,86285152,HOLD,002,MEMO-50856
00000346,00000284,REF-00000346,20230625,067,54810,03672270,HOLD,001,MEMO-94997
00000015,00000571,REF-00000015,20251221,161,37737,06075657,DONE,003,MEMO-73174
00000107,00000858,REF-00000107,20231225,294,72249,21241206,OPEN,002,MEMO-88901
00000032,00000145,REF-00000032,20230613,895,77798,69629210,DONE,001,MEMO-85654
00000019,00000432,REF-00000019,20251022,346,63407,21938822,OPEN,001,MEMO-48463
00000300,00000719,REF-00000300,20230613,140,97553,13657420,DONE,001,MEMO-91798
00000061,00000006,REF-00000061,20251022,464,96645,44843280,OPEN,002,MEMO-65384
00000480,00000293,REF-00000480,20230819,443,13156,05828108,OPEN,001,MEMO-58987
00000059,00000580,REF-00000059,20250515,302,84970,25660940,DONE,001,MEMO-61007
00000026,00000867,REF-00000026,20250128,684,52224,35721216,VOID,002,MEMO-18809
00000031,00000154,REF-00000031,20250811,331,89126,29500706,HOLD,001,MEMO-75895
00000025,00000441,REF-00000025,20240726,723,69147,49993281,DONE,001,MEMO-02695
00000155,00000728,REF-00000155,20250702,586,28634,16779524,OPEN,001,MEMO-88573
00000240,00000015,REF-00000240,20250911,425,96057,40824225,VOID,001,MEMO-90253
00000067,00000302,REF-00000067,20250717,211,10919,02303909,HOLD,001,MEMO-72452
00000601,00000589,REF-00000601,20240623,402,82650,33225300,HOLD,001,MEMO-35451
00000342,00000876,REF-00000342,20230509,373,56765,21173345,OPEN,001,MEMO-78740
00000111,00000163,REF-00000111,20240720,630,56741,35746830,DONE,001,MEMO-65620
00000469,00000450,REF-00000469,20230318,139,72283,10047337,VOID,001,MEMO-58371
00000203,00000737,REF-00000203,20240327,359,27846,09996714,DONE,002,MEMO-35072
00000185,00000024,REF-00000185,20251106,406,22857,09279942,HOLD,002,MEMO-85440
00000191,00000311,REF-00000191,20231014,661,47761,31570021,DONE,001,MEMO-54550
00000635,00000598,REF-00000635,20241112,600,63491,38094600,HOLD,001,MEMO-60191
00000676,00000885,REF-00000676,20240705,261,21937,05725557,DONE,001,MEMO-77719
00000397,00000172,REF-00000397,20251208,503,45923,23099269,DONE,001,MEMO-13135
00000082,00000459,REF-00000082,20240401,792,13071,10352232,OPEN,002,MEMO-16069
00000410,00000746,REF-00000410,20250201,635,94855,60232925,OPEN,001,MEMO-40455
00000070,00000033,REF-00000070,20251121,865,96876,83797740,HOLD,001,MEMO-25506
00000537,00000320,REF-00000537,20240415,040,96005,03840200,DONE,001,MEMO-82801
00000542,00000607,REF-00000542,20250207,856,12748,10912288,VOID,001,MEMO-80067
00000645,00000894,REF-00000645,20250727,919,38318,35214242,HOLD,001,MEMO-03624
00000364,00000181,REF-00000364,20240904,608,36521,22204768,OPEN,001,MEMO-91849
00000075,00000468,REF-00000075,20231223,049,71450,03501050,OPEN,001,MEMO-45662
00000400,00000755,REF-00000400,20240902,031,65100,02018100,VOID,001,MEMO-81158
00000374,00000042,REF-00000374,20250623,351,96783,33970833,OPEN,001,MEMO-28764
00000648,00000329,REF-00000648,20240121,088,06725,00591800,VOID,001,MEMO-04372
00000621,00000616,REF-00000621,20240618,467,11608,05420936,HOLD,001,MEMO-28922
00000445,00000903,REF-00000445,20240403,096,76912,07383552,VOID,001,MEMO-86132
00000002,00000190,REF-00000002,20240903,276,42942,11851992,OPEN,001,MEMO-15837
00000246,00000477,REF-00000246,20250901,345,26527,09151815,VOID,001,MEMO-65838
00000195,00000764,REF-00000195,20230227,186,45957,08548002,DONE,001,MEMO-85922
00000109,00000051,REF-00000109,20240808,275,11391,03132525,VOID,002,MEMO-56343
00000475,00000338,REF-00000475,20230925,776,73882,57332432,HOLD,001,MEMO-75739
00000207,00000625,REF-00000207,20250613,498,20824,10370352,OPEN,001,MEMO-80810
00000060,00000912,REF-00000060,20231116,729,45157,32919453,VOID,003,MEMO-97017
00000101,00000199,REF-00000101,20240321,375,27969,10488375,DONE,002,MEMO-08402
00000239,00000486,REF-00000239,20230328,371,18206,06754426,VOID,001,MEMO-85660
00000007,00000773,REF-00000007,20241103,341,08116,02767556,VOID,003,MEMO-63432
00000154,00000060,REF-00000154,20231007,642,32065,20585730,DONE,001,MEMO-76711
00000307,00000347,REF-00000307,20231016,163,12792,02085096,HOLD,001,MEMO-66493
00000705,00000634,REF-00000705,20251201,148,19711,02917228,HOLD,001,MEMO-85862
00000437,00000921,REF-00000437,20240905,227,34766,07891882,OPEN,001,MEMO-16666
00000085,00000208,REF-00000085,20230827,767,85627,65675909,OPEN,001,MEMO-10162
00000050,00000495,REF-00000050,20251209,959,87759,84160881,VOID,003,MEMO-71193
00000059,00000782,REF-00000059,20251010,022,68848,01514656,OPEN,003,MEMO-09473
00000452,00000069,REF-00000452,20230310,616,90181,55551496,VOID,001,MEMO-63170
00000345,00000356,REF-00000345,20250523,369,76102,28081638,VOID,001,MEMO-92005
00000433,00000643,REF-00000433,20240702,251,08271,02076021,HOLD,001,MEMO-67938
00000157,00000930,REF-00000157,20250402,198,50649,10028502,HOLD,001,MEMO-98100
00000019,00000217,REF-00000019,20241103,241,96201,23184441,DONE,003,MEMO-97576
00000005,00000504,REF-00000005,20240614,781,90099,70367319,HOLD,004,MEMO-92383
00000177,00000791,REF-00000177,20240812,795,32822,26093490,VOID,001,MEMO-19202
00000165,00000078,REF-00000165,20231113,423,59023,24966729,OPEN,002,MEMO-12311
00000198,00000365,REF-00000198,20250416,392,80850,31693200,DONE,002,MEMO-63892
00000194,00000652,REF-00000194,20231208,850,63639,54093150,VOID,001,MEMO-48074
00000389,00000939,REF-00000389,20230322,857,55357,47440949,VOID,001,MEMO-58985
00000355,00000226,REF-00000355,20231104,094,37211,03497834,DONE,001,MEMO-86851
00000502,00000513,REF-00000502,20230902,297,71803,21325491,HOLD,001,MEMO-44878
00000182,00000800,REF-00000182,20240517,372,07248,02696256,OPEN,001,MEMO-34319
00000262,00000087,REF-00000262,20250711,427,20144,08601488,OPEN,001,MEMO-36108
00000687,00000374,REF-00000687,20230502,375,44314,16617750,HOLD,001,MEMO-25100
00000009,00000661,REF-00000009,20250922,062,64234,03982508,VOID,002,MEMO-15880
00000117,00000948,REF-00000117,20230303,752,24970,18777440,VOID,001,MEMO-59840
00000061,00000235,REF-00000061,20250205,330,19598,06467340,OPEN,001,MEMO-63228
00000103,00000522,REF-00000103,20230306,663,98206,65110578,DONE,001,MEMO-70827
00000247,00000809,REF-00000247,20250415,540,43053,23248620,HOLD,001,MEMO-98832
00000025,00000096,REF-00000025,20251026,102,61221,06244542,OPEN,003,MEMO-14405
00000286,00000383,REF-00000286,20240206,062,52593,03260766,HOLD,001,MEMO-69922
00000099,00000670,REF-00000099,20250601,346,31343,10844678,OPEN,001,MEMO-11087
00000337,00000957,REF-00000337,20230819,777,17870,13884990,VOID,001,MEMO-98216
00000054,00000244,REF-00000054,20240120,828,34241,28351548,HOLD,002,MEMO-34845
00000003,00000531,REF-00000003,20241219,466,47897,22320002,VOID,005,MEMO-22507
00000091,00000818,REF-00000091,20240715,429,43077,18480033,DONE,002,MEMO-64717
00000335,00000105,REF-00000335,20251126,591,73425,43394175,HOLD,001,MEMO-37890
00000547,00000392,REF-00000547,20240317,860,65059,55950740,DONE,001,MEMO-85662
00000610,00000679,REF-00000610,20251206,115,42620,04901300,DONE,001,MEMO-07946
00000396,00000966,REF-00000396,20250613,770,86128,66318560,VOID,001,MEMO-12896
00000173,00000253,REF-00000173,20240102,155,44872,06955160,HOLD,002,MEMO-95936
00000599,00000540,REF-00000599,20250410,383,59808,22906464,HOLD,001,MEMO-87594
00000485,00000827,REF-00000485,20230104,835,88155,73609425,HOLD,001,MEMO-40399
00000474,00000114,REF-00000474,20230713,942,82817,78013614,DONE,001,MEMO-84740
00000688,00000401,REF-00000688,20240212,613,98762,60541106,HOLD,001,MEMO-00668
00000583,00000688,REF-00000583,20240126,328,00032,00010496,OPEN,001,MEMO-19602
00000544,00000975,REF-00000544,20240417,458,18501,08473458,DONE,001,MEMO-60351
00000032,00000262,REF-00000032,20240303,894,10813,09666822,DONE,002,MEMO-36405
00000321,00000549,REF-00000321,20231025,593,29967,17770431,DONE,001,MEMO-07328
00000254,00000836,REF-00000254,20251224,309,63876,19737684,DONE,001,MEMO-06034
00000018,00000123,REF-00000018,20231027,379,47377,17955883,DONE,002,MEMO-46400
00000163,00000410,REF-00000163,20250501,505,03516,01775580,VOID,001,MEMO-61048
00000468,00000697,REF-00000468,20241017,005,31077,00155385,OPEN,001,MEMO-68045
00000057,00000984,REF-00000057,20240420,162,68470,11092140,VOID,003,MEMO-68522
00000145,00000271,REF-00000145,20251002,869,94884,82454196,OPEN,001,MEMO-02284
00000156,00000558,REF-00000156,20240825,506,03674,01859044,VOID,001,MEMO-04223
00000256,00000845,REF-00000256,20251118,060,58347,03500820,HOLD,001,MEMO-14319
00000439,00000132,REF-00000439,20230918,750,35065,26298750,HOLD,001,MEMO-95627
00000328,00000419,REF-00000328,20250511,433,26560,11500480,DONE,001,MEMO-23828
00000169,00000706,REF-00000169,20230120,063,38865,02448495,HOLD,001,MEMO-71283
00000039,00000993,REF-00000039,20251227,873,93155,81324315,DONE,003,MEMO-41667
00000647,00000280,REF-00000647,20230316,705,56344,39722520,DONE,001,MEMO-80075
00000118,00000567,REF-00000118,20231016,456,45685,20832360,DONE,001,MEMO-85106
00000365,00000854,REF-00000365,20250502,870,37947,33013890,VOID,001,MEMO-59381
00000376,00000141,REF-00000376,20231214,625,88252,55157500,VOID,001,MEMO-45896
00000272,00000428,REF-00000272,20250902,692,50876,35206192,DONE,001,MEMO-46773
00000003,00000715,REF-00000003,20230226,686,71787,49245882,DONE,004,MEMO-46731
00000133,00000002,REF-00000133,20230514,647,86429,55919563,HOLD,001,MEMO-16118
00000454,00000289,REF-00000454,20230802,880,89198,78494240,OPEN,001,MEMO-85273
00000277,00000576,REF-00000277,20250603,974,50914,49590236,VOID,001,MEMO-25113
00001010,00000863,REF-00001010,20250523,387,44764,17323668,VOID,001,MEMO-37799
00000003,00000150,REF-00000003,20231101,961,90599,87065639,DONE,001,MEMO-99224
00000392,00000437,REF-00000392,20251112,384,14927,05731968,HOLD,001,MEMO-35599
00000011,00000724,REF-00000011,20230313,863,49635,42835005,VOID,003,MEMO-48588
00000136,00000011,REF-00000136,20231120,267,41586,11103462,VOID,001,MEMO-56586
00000086,00000298,REF-00000086,20230903,339,19604,06645756,HOLD,002,MEMO-93635
00000409,00000585,REF-00000409,20250807,227,74306,16867462,HOLD,001,MEMO-36462
00000387,00000872,REF-00000387,20250813,239,74318,17762002,DONE,001,MEMO-82879
00000005,00000159,REF-00000005,20230425,786,66111,51963246,OPEN,002,MEMO-54648
00000206,00000446,REF-00000206,20230917,294,20475,06019650,HOLD,001,MEMO-10721
00000415,00000733,REF-00000415,20250709,273,52369,14296737,HOLD,001,MEMO-72865
00000161,00000020,REF-00000161,20251223,521,51729,26950809,HOLD,001,MEMO-90790
00000481,00000307,REF-00000481,20250925,344,19900,06845600,DONE,001,MEMO-10340
00000082,00000594,REF-00000082,20251018,651,01182,00769482,OPEN,001,MEMO-71580
00000083,00000881,REF-00000083,20240227,671,02052,01376892,HOLD,002,MEMO-95825
00000125,00000168,REF-00000125,20241102,395,97242,38410590,DONE,001,MEMO-28213
00000320,00000455,REF-00000320,20230807,530,63181,33485930,VOID,001,MEMO-16013
00000057,00000742,REF-00000057,20241120,055,45181,02484955,DONE,002,MEMO-75090
00000675,00000029,REF-00000675,20241223,520,85914,44675280,VOID,001,MEMO-06146
00000027,00000316,REF-00000027,20230719,282,74505,21010410,VOID,001,MEMO-72237
00000153,00000603,REF-00000153,20240802,177,87314,15454578,VOID,001,MEMO-29194
00000074,00000890,REF-00000074,20250818,551,98323,54175973,DONE,002,MEMO-45476
00000028,00000177,REF-00000028,20240322,846,50193,42463278,DONE,002,MEMO-03809
00000078,00000464,REF-00000078,20230821,030,09834,00295020,OPEN,001,MEMO-64559
00000006,00000751,REF-00000006,20240819,901,88768,79979968,VOID,005,MEMO-13171
00000201,00000038,REF-00000201,20230717,260,01598,00415480,OPEN,002,MEMO-58607
00000035,00000325,REF-00000035,20250521,606,31495,19085970,OPEN,003,MEMO-56860
00000668,00000612,REF-00000668,20250207,463,71689,33192007,VOID,001,MEMO-39136
00000162,00000899,REF-00000162,20231209,837,07635,06390495,OPEN,001,MEMO-29372
00000226,,REF-00000226,20241220,309,27238,08416542,VOID,001,MEMO-90582
00000022,00000473,REF-00000022,20250214,326,15904,05184704,OPEN,002,MEMO-18634
00000338,00000760,REF-00000338,20241128,647,93699,60623253,DONE,001,MEMO-22272
00000182,00000047,REF-00000182,20250517,156,49285,07688460,VOID,002,MEMO-12939
00000017,00000334,REF-00000017,20250117,953,96436,91903508,VOID,001,MEMO-37950
00000043,00000621,REF-00000043,20240628,516,60457,31195812,HOLD,001,MEMO-53401
00000413,00000908,REF-00000413,20251002,630,04428,02789640,OPEN,001,MEMO-68902
00000555,00000195,REF-00000555,20250818,602,01010,00608020,HOLD,001,MEMO-25251
